Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Confederation,ConversionRate
Argentina,24,9.0,18,114,44,38.6,12.67,4.89,0.16,0.41,1,3,CONMEBOL,0.15789473684210525
Austria,20,4.0,5,32,8,25.0,8.0,2.0,0.16,0.63,1,1,UEFA,0.15625
Belgium,23,6.3,13,112,34,30.4,17.68,5.37,0.12,0.38,1,1,UEFA,0.11607142857142858
Bosnia–Herz,23,4.0,4,37,14,37.8,9.25,3.5,0.11,0.29,0,0,UEFA,0.10810810810810811
Brazil,22,5.0,10,74,30,40.5,14.8,6.0,0.14,0.33,1,2,CONMEBOL,0.13513513513513514
Colombia,21,5.3,5,94,30,31.9,17.62,5.63,0.05,0.17,0,0,CONMEBOL,0.05319148936170213
Croatia,19,4.0,6,37,17,45.9,9.25,4.25,0.16,0.35,0,0,UEFA,0.16216216216216217
Czechia,21,3.0,2,34,8,23.5,11.33,2.67,0.06,0.25,0,0,UEFA,0.058823529411764705
Ecuador,21,4.0,2,53,20,37.7,13.25,5.0,0.04,0.1,0,0,CONMEBOL,0.03773584905660377
England,24,8.3,20,118,53,44.9,14.16,6.36,0.17,0.38,3,3,UEFA,0.1694915254237288
France,22,8.0,20,139,59,42.4,17.37,7.37,0.14,0.34,1,2,UEFA,0.14388489208633093
Germany,23,4.3,11,74,28,37.8,17.08,6.46,0.15,0.39,1,1,UEFA,0.14864864864864866
Netherlands,22,4.3,10,46,22,47.8,10.62,5.08,0.22,0.45,0,0,UEFA,0.21739130434782608
Norway,25,6.3,12,66,29,43.9,10.42,4.58,0.18,0.41,0,1,UEFA,0.18181818181818182
Paraguay,24,5.3,3,35,8,22.9,6.56,1.5,0.09,0.38,0,0,CONMEBOL,0.08571428571428572
Portugal,22,5.0,7,62,17,27.4,12.4,3.4,0.11,0.41,1,1,UEFA,0.11290322580645161
Scotland,20,3.0,1,29,7,24.1,9.67,2.33,0.03,0.14,0,0,UEFA,0.034482758620689655
Spain,22,8.3,13,140,54,38.6,16.8,6.48,0.09,0.24,1,1,UEFA,0.09285714285714286
Sweden,22,4.0,7,48,23,47.9,12.0,5.75,0.15,0.3,0,0,UEFA,0.14583333333333334
Switzerland,23,6.7,10,74,30,40.5,11.1,4.5,0.14,0.33,2,2,UEFA,0.13513513513513514
Türkiye,23,3.0,3,71,16,22.5,23.67,5.33,0.04,0.19,0,0,UEFA,0.04225352112676056
Uruguay,17,3.0,3,49,13,26.5,16.33,4.33,0.06,0.23,0,0,CONMEBOL,0.061224489795918366
