match_id,winner,winner_accuracy,loser,loser_accuracy,accuracy_difference
400021534,Belgium,80.38,USA,87.34,-6.960000000000008
400021443,Mexico,90.49,South Africa,82.62,7.86999999999999
400021520,Mexico,81.7,Ecuador,84.05,-2.3499999999999943
400021472,Netherlands,89.04,Sweden,86.07,2.970000000000013
400021507,England,87.34,Croatia,86.93,0.4099999999999966
400021532,Norway,91.8,Brazil,85.88,5.920000000000002
400021496,Argentina,89.45,Algeria,91.17,-1.7199999999999989
400021462,USA,87.57,Australia,77.27,10.299999999999997
400021463,Australia,76.45,Türkiye,91.83,-15.379999999999995
400021515,Egypt,87.52,Australia,82.31,5.209999999999994
400021468,Côte d'Ivoire,89.13,Curaçao,84.55,4.579999999999998
400021481,Belgium,89.62,New Zealand,84.22,5.400000000000006
400021451,Switzerland,82.59,Canada,77.9,4.689999999999998
400021540,Argentina,90.0,England,83.0,7.0
400021522,Morocco,91.25,Netherlands,77.72,13.530000000000001
400021513,Paraguay,62.88,Germany,90.17,-27.29
400021501,Colombia,86.68,Congo DR,74.92,11.760000000000005
400021536,France,90.54,Morocco,87.01,3.530000000000001
400021473,Netherlands,92.66,Tunisia,78.49,14.170000000000002
400021509,Croatia,90.52,Ghana,88.2,2.319999999999993
400021498,Austria,85.01,Jordan,73.84,11.170000000000002
400021499,Algeria,89.26,Jordan,74.44,14.820000000000007
400021444,Mexico,86.29,Czechia,83.22,3.0700000000000074
400021492,France,91.56,Iraq,85.86,5.700000000000003
400021488,Norway,89.96,Iraq,82.42,7.539999999999992
400021530,Morocco,84.17,Canada,76.63,7.540000000000006
400021464,Germany,88.77,Curaçao,80.39,8.379999999999995
400021489,France,89.62,Norway,81.7,7.920000000000002
400021503,Portugal,90.3,Uzbekistan,80.12,10.179999999999993
400021448,Bosnia and Herzegovina,88.48,Qatar,84.9,3.5799999999999983
400021493,Senegal,89.4,Iraq,71.43,17.97
400021543,Spain,89.86,Argentina,78.78,11.079999999999998
400021450,Canada,93.04,Qatar,64.46,28.580000000000013
400021527,Switzerland,82.26,Algeria,85.99,-3.7299999999999898
400021474,Sweden,81.46,Tunisia,80.81,0.6499999999999915
400021517,Colombia,90.3,Ghana,84.36,5.939999999999998
400021514,Norway,89.84,Côte d'Ivoire,86.95,2.8900000000000006
400021454,Morocco,90.53,Scotland,87.61,2.9200000000000017
400021533,France,89.61,Paraguay,56.54,33.07
400021483,Spain,92.6,Saudi Arabia,79.43,13.169999999999987
400021516,Brazil,91.19,Japan,84.55,6.640000000000001
400021510,Ghana,83.98,Panama,88.11,-4.1299999999999955
400021519,Spain,91.6,Austria,80.83,10.769999999999996
400021453,Scotland,81.61,Haiti,87.7,-6.090000000000003
400021442,Mexico,83.33,Korea Republic,86.0,-2.6700000000000017
400021445,South Africa,80.87,Korea Republic,91.5,-10.629999999999995
400021490,France,88.36,Senegal,86.95,1.4099999999999966
400021521,Argentina,92.81,Cabo Verde,86.56,6.25
400021467,Côte d'Ivoire,87.69,Ecuador,85.38,2.3100000000000023
400021452,Morocco,88.87,Haiti,80.0,8.870000000000005
