player,squad,gp,starts,minutes,cs,ga,saves,pkatt,pka,pksv,source
Unai Simon,Spain,8,8,750,7,1,10,0,0,0,FOX Sports
Mike Maignan,France,8,8,720,4,10,13,3,3,0,FOX Sports
Raul Rangel,Mexico,5,5,438,4,3,8,1,1,0,FOX Sports
Guillermo Ochoa,Mexico,1,0,13,0,0,0,0,0,0,FOX Sports
Camilo Vargas,Colombia,5,5,480,4,1,5,0,0,0,FOX Sports
Emiliano Martinez,Argentina,8,8,810,3,8,20,0,0,0,FOX Sports
Alisson,Brazil,5,5,450,2,4,14,0,0,0,FOX Sports
Jordan Pickford,England,7,7,660,2,8,16,1,1,0,FOX Sports
Dean Henderson,England,1,1,90,0,4,5,0,0,0,FOX Sports
Gregor Kobel,Switzerland,6,6,600,2,6,17,0,0,0,FOX Sports
Diogo Costa,Portugal,5,5,450,2,3,19,0,0,0,FOX Sports
Matt Freese,United States,4,4,360,2,5,8,0,0,0,FOX Sports
Matt Turner,United States,1,1,90,0,3,0,0,0,0,FOX Sports
Patrick Beach,Australia,4,4,389,2,3,14,0,0,0,FOX Sports
Mathew Ryan,Australia,1,0,2,0,0,0,0,0,0,FOX Sports
Maxime Crepeau,Canada,5,5,450,2,6,6,0,0,0,FOX Sports
Vozinha,Cape Verde,4,4,390,2,5,18,0,0,0,FOX Sports
Yahia Fofana,Cote d'Ivoire,4,4,360,2,4,10,0,0,0,FOX Sports
Yassine Bounou,Morocco,6,6,570,2,6,17,1,1,0,FOX Sports
Orlando Gill,Paraguay,5,5,480,2,6,22,1,1,0,FOX Sports
Angus Gunn,Scotland,3,3,270,1,4,8,0,0,0,FOX Sports
Dominik Livakovic,Croatia,4,4,360,1,7,11,2,2,0,FOX Sports
Ronwen Williams,South Africa,4,4,360,1,4,11,0,0,0,FOX Sports
Mory Diaw,Senegal,3,2,238,1,3,3,1,1,0,FOX Sports
Edouard Mendy,Senegal,2,2,153,0,6,8,0,0,0,Published match stats
Hernan Galindez,Ecuador,4,4,360,1,4,9,0,0,0,FOX Sports
Benjamin Asare,Ghana,3,2,225,1,2,6,0,0,0,FOX Sports
Lawrence Ati Zigi,Ghana,2,2,135,0,1,8,0,0,0,FOX Sports
Alireza Beiranvand,IR Iran,3,3,270,1,3,12,0,0,0,FOX Sports
Zion Suzuki,Japan,4,4,360,1,5,14,0,0,0,FOX Sports
Eloy Room,Curacao,3,3,270,1,9,18,1,1,0,FOX Sports
Mostafa Shobeir,Egypt,5,5,480,0,7,15,2,2,0,FOX Sports
Orjan Nyland,Norway,5,5,480,0,7,14,2,2,0,FOX Sports
Egil Selvik,Norway,1,1,90,0,4,4,0,0,0,FOX Sports
Thibaut Courtois,Belgium,6,6,551,1,6,14,0,0,0,FOX Sports
Senne Lammens,Belgium,1,0,20,0,1,2,0,0,0,FOX Sports
Alexander Schlager,Austria,4,4,360,0,9,12,1,1,0,FOX Sports
Mohammed Al Owais,Saudi Arabia,3,3,270,1,5,12,0,0,0,FOX Sports
Jacob Widell Zetterstrom,Sweden,2,2,180,0,4,11,0,0,0,FOX Sports
Kristoffer Nordfeldt,Sweden,2,1,90,0,6,3,0,0,0,Published match stats
Max Crocombe,New Zealand,3,3,270,0,10,11,0,0,0,FOX Sports
Lionel Mpasi,Congo DR,4,4,360,0,5,11,0,0,0,FOX Sports
Bart Verbruggen,Netherlands,4,4,390,0,5,16,0,0,0,FOX Sports
Aymen Dahmen,Tunisia,2,2,180,0,7,5,0,0,0,Published match stats
C. Abdelmouhib,Tunisia,1,1,90,0,5,1,0,0,0,Published match stats
Abduvohid Nematov,Uzbekistan,2,2,180,0,8,5,0,0,0,Published match stats
Utkir Yusupov,Uzbekistan,1,1,90,0,3,2,0,0,0,FOX Sports
Ahmed Basil,Iraq,2,2,135,0,4,3,0,0,0,Published match stats
Jalal Hassan,Iraq,2,1,135,0,8,8,0,0,0,Published match stats
Fernando Muslera,Uruguay,3,3,225,0,4,4,0,0,0,Published match stats
Sergio Rochet,Uruguay,1,0,45,0,0,1,0,0,0,FOX Sports
Johny Placide,Haiti,3,3,270,0,8,11,0,0,0,Published match stats
Kim Seung-gyu,Korea Republic,3,3,270,0,3,5,0,0,0,FOX Sports
Luca Zidane,Algeria,3,2,180,0,6,8,0,0,0,Published match stats
Oussama Benbot,Algeria,1,1,90,0,3,0,0,0,0,FOX Sports
Manuel Neuer,Germany,4,4,390,0,5,5,0,0,0,Published match stats
Matej Kovar,Czechia,3,3,270,0,6,9,0,0,0,Published match stats
Mahmoud Abunada,Qatar,3,3,270,0,11,12,0,0,0,Published match stats
Orlando Mosquera,Panama,3,3,270,0,4,7,0,0,0,Published match stats
Ugurcan Cakir,Turkiye,3,3,270,0,5,8,0,0,0,Published match stats
Yazeed Abulaila,Jordan,3,3,270,0,8,8,0,0,0,Published match stats
Nikola Vasilj,Bosnia and Herzegovina,4,4,360,0,8,6,0,0,0,Published match stats
