Squad,Players_Used,MP,Starts,Minutes,Nineties,GA,GA90,SoTA,Saves,Save_Pct,CS,CS_Pct,PKatt,PKA,PKsv,PKm,PK_Save_Pct,Stage_Group
Mexico,2,5,5,451,5.011111111111111,3,0.5986696230598669,11,8,72.72727272727273,4,80.0,1,1,0,0,0.0,Knockout
Spain,1,8,8,750,8.333333333333334,1,0.12,11,10,90.9090909090909,7,87.5,0,0,0,0,,Knockout
Korea Republic,1,3,3,270,3.0,3,1.0,8,5,62.5,0,0.0,0,0,0,0,,Group Stage
Tunisia,2,3,3,270,3.0,12,4.0,18,6,33.33333333333333,0,0.0,0,0,0,0,,Group Stage
Japan,1,4,4,360,4.0,5,1.25,19,14,73.68421052631578,1,25.0,0,0,0,0,,Knockout
Scotland,1,3,3,270,3.0,4,1.3333333333333333,12,8,66.66666666666666,1,33.33333333333333,0,0,0,0,,Group Stage
Croatia,1,4,4,360,4.0,7,1.75,18,11,61.111111111111114,1,25.0,2,2,0,0,0.0,Knockout
Germany,1,4,4,390,4.333333333333333,5,1.153846153846154,10,5,50.0,0,0.0,0,0,0,0,,Knockout
Belgium,2,6,6,571,6.344444444444444,7,1.1033274956217163,23,16,69.56521739130434,1,16.666666666666664,0,0,0,0,,Knockout
Jordan,1,3,3,270,3.0,8,2.6666666666666665,16,8,50.0,0,0.0,0,0,0,0,,Group Stage
Cape Verde,1,4,4,390,4.333333333333333,5,1.153846153846154,23,18,78.26086956521739,2,50.0,0,0,0,0,,Knockout
Austria,1,4,4,360,4.0,9,2.25,21,12,57.14285714285714,0,0.0,1,1,0,0,0.0,Knockout
Brazil,1,5,5,450,5.0,4,0.8,18,14,77.77777777777779,2,40.0,0,0,0,0,,Knockout
South Africa,1,4,4,360,4.0,4,1.0,15,11,73.33333333333333,1,25.0,0,0,0,0,,Knockout
Paraguay,1,5,5,480,5.333333333333333,6,1.125,28,22,78.57142857142857,2,40.0,1,1,0,0,0.0,Knockout
Curacao,1,3,3,270,3.0,9,3.0,27,18,66.66666666666666,1,33.33333333333333,1,1,0,0,0.0,Group Stage
England,2,8,8,750,8.333333333333334,12,1.44,33,21,63.63636363636363,2,25.0,1,1,0,0,0.0,Knockout
United States,2,5,5,450,5.0,8,1.6,16,8,50.0,2,40.0,0,0,0,0,,Knockout
Ecuador,1,4,4,360,4.0,4,1.0,13,9,69.23076923076923,1,25.0,0,0,0,0,,Knockout
Colombia,1,5,5,480,5.333333333333333,1,0.1875,6,5,83.33333333333334,4,80.0,0,0,0,0,,Knockout
Egypt,1,5,5,480,5.333333333333333,7,1.3125,22,15,68.18181818181817,0,0.0,2,2,0,0,0.0,Knockout
Netherlands,1,4,4,390,4.333333333333333,5,1.153846153846154,21,16,76.19047619047619,0,0.0,0,0,0,0,,Knockout
Panama,1,3,3,270,3.0,4,1.3333333333333333,11,7,63.63636363636363,0,0.0,0,0,0,0,,Group Stage
Uruguay,2,3,3,270,3.0,4,1.3333333333333333,9,5,55.55555555555556,0,0.0,0,0,0,0,,Group Stage
Algeria,2,3,3,270,3.0,9,3.0,17,8,47.05882352941176,0,0.0,0,0,0,0,,Group Stage
Norway,2,6,6,570,6.333333333333333,11,1.736842105263158,29,18,62.06896551724138,0,0.0,2,2,0,0,0.0,Knockout
New Zealand,1,3,3,270,3.0,10,3.3333333333333335,21,11,52.38095238095239,0,0.0,0,0,0,0,,Group Stage
Bosnia and Herzegovina,1,4,4,360,4.0,8,2.0,14,6,42.857142857142854,0,0.0,0,0,0,0,,Knockout
Cote d'Ivoire,1,4,4,360,4.0,4,1.0,14,10,71.42857142857143,2,50.0,0,0,0,0,,Knockout
Portugal,1,5,5,450,5.0,3,0.6,22,19,86.36363636363636,2,40.0,0,0,0,0,,Knockout
Argentina,1,8,8,810,9.0,8,0.8888888888888888,28,20,71.42857142857143,3,37.5,0,0,0,0,,Knockout
Turkiye,1,3,3,270,3.0,5,1.6666666666666667,13,8,61.53846153846154,0,0.0,0,0,0,0,,Group Stage
